+--------------------+-----------------------------------------------------------------------------------------------------+
| section            | note                                                                                                |
+--------------------+-----------------------------------------------------------------------------------------------------+
| defiant_audit_note | This audit intentionally uses conservative schema columns so it works on the restored MSR baseline. |
+--------------------+-----------------------------------------------------------------------------------------------------+
+--------------------------+-------------------+----------------------+-------------+----------------+
| section                  | COLUMN_NAME       | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+--------------------------+-------------------+----------------------+-------------+----------------+
| lootdrop_entries_columns | lootdrop_id       | int(11) unsigned     | NO          | 0              |
| lootdrop_entries_columns | item_id           | int(11)              | NO          | 0              |
| lootdrop_entries_columns | item_charges      | smallint(2) unsigned | NO          | 1              |
| lootdrop_entries_columns | equip_item        | tinyint(2) unsigned  | NO          | 0              |
| lootdrop_entries_columns | chance            | float                | NO          | 1              |
| lootdrop_entries_columns | disabled_chance   | float                | NO          | 0              |
| lootdrop_entries_columns | trivial_min_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | trivial_max_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | multiplier        | tinyint(2) unsigned  | NO          | 1              |
| lootdrop_entries_columns | npc_min_level     | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | npc_max_level     | smallint(5) unsigned | NO          | 0              |
+--------------------------+-------------------+----------------------+-------------+----------------+
+---------------------------+--------------+---------------------+-------------+----------------+
| section                   | COLUMN_NAME  | COLUMN_TYPE         | IS_NULLABLE | COLUMN_DEFAULT |
+---------------------------+--------------+---------------------+-------------+----------------+
| loottable_entries_columns | loottable_id | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | lootdrop_id  | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | multiplier   | tinyint(2) unsigned | NO          | 1              |
| loottable_entries_columns | droplimit    | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | mindrop      | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | probability  | float               | NO          | 100            |
+---------------------------+--------------+---------------------+-------------+----------------+
+----------------------+------------------------+----------------------+-------------+----------------+
| section              | COLUMN_NAME            | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+----------------------+------------------------+----------------------+-------------+----------------+
| merchantlist_columns | merchantid             | int(11)              | NO          | 0              |
| merchantlist_columns | slot                   | int(11) unsigned     | NO          | 0              |
| merchantlist_columns | item                   | int(11)              | NO          | 0              |
| merchantlist_columns | faction_required       | smallint(6)          | NO          | -100           |
| merchantlist_columns | level_required         | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | min_status             | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | max_status             | tinyint(3) unsigned  | NO          | 255            |
| merchantlist_columns | alt_currency_cost      | smallint(5) unsigned | NO          | 0              |
| merchantlist_columns | classes_required       | int(11)              | NO          | 65535          |
| merchantlist_columns | probability            | int(3)               | NO          | 100            |
| merchantlist_columns | bucket_name            | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_value           | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_comparison      | tinyint(3) unsigned  | YES         | 0              |
| merchantlist_columns | min_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | max_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | content_flags          | varchar(100)         | YES         | NULL           |
| merchantlist_columns | content_flags_disabled | varchar(100)         | YES         | NULL           |
+----------------------+------------------------+----------------------+-------------+----------------+
+--------------------+-------------+
| section            | count_value |
+--------------------+-------------+
| defiant_item_count |         417 |
+--------------------+-------------+
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| section              | id    | Name                                 | itemtype | classes | races | slots   | reqlevel | reclevel | nodrop | norent |
| defiant_lootdrop_entries |      176437 |   50165 | Intricate Defiant Leather Boots      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50166 | Intricate Defiant Leather Cap        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50167 | Intricate Defiant Leather Sleeves    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50168 | Intricate Defiant Leather Trousers   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50169 | Intricate Defiant Leather Tunic      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50170 | Intricate Defiant Silk Wristguard    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50171 | Intricate Defiant Silk Wristband     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50172 | Intricate Defiant Silk Wristwrap     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50173 | Intricate Defiant Silk Gloves        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50174 | Intricate Defiant Silk Sandals       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50175 | Intricate Defiant Silk Cap           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50176 | Intricate Defiant Silk Sleeves       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50177 | Intricate Defiant Silk Pantaloons    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50178 | Intricate Defiant Silk Robe          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50586 | Intricate Defiant Spotstone          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50587 | Intricate Defiant Crystal Shard      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50588 | Intricate Defiant Hammer             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50589 | Intricate Defiant Mace               |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50590 | Intricate Defiant Katana             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50591 | Intricate Defiant Scimitar           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50592 | Intricate Defiant Sacrificial Dagger |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50593 | Intricate Defiant Partisan Spear     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50594 | Intricate Defiant Handwraps          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50595 | Intricate Defiant Spiked Warhammer   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50596 | Intricate Defiant Trident            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50597 | Intricate Defiant Greatsword         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50598 | Intricate Defiant Bow                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50599 | Intricate Defiant Hammered Buckler   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50600 | Intricate Defiant Targ Shield        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176437 |   50601 | Intricate Defiant Charm              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50179 | Elaborate Defiant Plate Bracer       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50180 | Elaborate Defiant Plate Wristguard   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50181 | Elaborate Defiant Plate Wristband    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50182 | Elaborate Defiant Plate Gauntlets    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50183 | Elaborate Defiant Plate Boots        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50184 | Elaborate Defiant Plate Helm         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50185 | Elaborate Defiant Plate Vambraces    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50186 | Elaborate Defiant Plate Greaves      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50187 | Elaborate Defiant Breastplate        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50188 | Elaborate Defiant Chain Bracer       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50189 | Elaborate Defiant Chain Wristguard   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50190 | Elaborate Defiant Chain Gauntlets    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50191 | Elaborate Defiant Chain Boots        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50192 | Elaborate Defiant Chain Coif         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50193 | Elaborate Defiant Chain Sleeves      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50194 | Elaborate Defiant Chain Leggings     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50195 | Elaborate Defiant Chain Tunic        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50196 | Elaborate Defiant Leather Bracer     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50197 | Elaborate Defiant Leather Wristguard |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50198 | Elaborate Defiant Leather Gloves     |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50199 | Elaborate Defiant Leather Boots      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50200 | Elaborate Defiant Leather Cap        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50201 | Elaborate Defiant Leather Sleeves    |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50202 | Elaborate Defiant Leather Trousers   |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50203 | Elaborate Defiant Leather Tunic      |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176438 |   50204 | Elaborate Defiant Silk Wristguard    |            1 |          1 |      0 |               1 |
+--------------------------+-------------+---------+--------------------------------------+--------------+------------+--------+-----------------+
+------------------------------+-------------+
| section                      | count_value |
+------------------------------+-------------+
| defiant_loottable_link_count |         372 |
+------------------------------+-------------+
+-------------------------+--------------+-------------+---------+--------------------------------------+
| section                 | loottable_id | lootdrop_id | item_id | Name                                 |
+-------------------------+--------------+-------------+---------+--------------------------------------+
| defiant_loottable_links |       110209 |      176432 |   50005 | Crude Defiant Plate Bracer           |
| defiant_loottable_links |       110209 |      176432 |   50006 | Crude Defiant Plate Gauntlets        |
| defiant_loottable_links |       110209 |      176432 |   50007 | Crude Defiant Plate Boots            |
| defiant_loottable_links |       110209 |      176432 |   50008 | Crude Defiant Plate Helm             |
| defiant_loottable_links |       110209 |      176432 |   50009 | Crude Defiant Plate Vambraces        |
| defiant_loottable_links |       110209 |      176432 |   50010 | Crude Defiant Plate Greaves          |
| defiant_loottable_links |       110209 |      176432 |   50011 | Crude Defiant Breastplate            |
| defiant_loottable_links |       110209 |      176432 |   50012 | Crude Defiant Chain Bracer           |
| defiant_loottable_links |       110209 |      176432 |   50013 | Crude Defiant Chain Gauntlets        |
| defiant_loottable_links |       110209 |      176432 |   50014 | Crude Defiant Chain Boots            |
| defiant_loottable_links |       110209 |      176432 |   50015 | Crude Defiant Chain Coif             |
| defiant_loottable_links |       110209 |      176432 |   50016 | Crude Defiant Chain Sleeves          |
| defiant_loottable_links |       110209 |      176432 |   50017 | Crude Defiant Chain Leggings         |
| defiant_loottable_links |       110209 |      176432 |   50018 | Crude Defiant Chain Tunic            |
| defiant_loottable_links |       110209 |      176432 |   50019 | Crude Defiant Leather Bracer         |
| defiant_loottable_links |       110209 |      176432 |   50020 | Crude Defiant Leather Gloves         |
| defiant_loottable_links |       110209 |      176432 |   50021 | Crude Defiant Leather Boots          |
| defiant_loottable_links |       110209 |      176432 |   50022 | Crude Defiant Leather Cap            |
| defiant_loottable_links |       110209 |      176432 |   50023 | Crude Defiant Leather Sleeves        |
| defiant_loottable_links |       110209 |      176432 |   50024 | Crude Defiant Leather Trousers       |
| defiant_loottable_links |       110209 |      176432 |   50025 | Crude Defiant Leather Tunic          |
| defiant_loottable_links |       110209 |      176432 |   50026 | Crude Defiant Cloth Wristwrap        |
| defiant_loottable_links |       110209 |      176432 |   50027 | Crude Defiant Cloth Gloves           |
| defiant_loottable_links |       110209 |      176432 |   50028 | Crude Defiant Cloth Sandals          |
| defiant_loottable_links |       110209 |      176432 |   50029 | Crude Defiant Cloth Cap              |
| defiant_loottable_links |       110209 |      176432 |   50030 | Crude Defiant Cloth Sleeves          |
| defiant_loottable_links |       110209 |      176432 |   50031 | Crude Defiant Cloth Pantaloons       |
| defiant_loottable_links |       110209 |      176432 |   50032 | Crude Defiant Cloth Robe             |
| defiant_loottable_links |       110209 |      176432 |   50500 | Crude Defiant Amethyst               |
| defiant_loottable_links |       110209 |      176432 |   50501 | Crude Defiant Emerald                |
| defiant_loottable_links |       110209 |      176432 |   50502 | Crude Defiant Ruby Shard             |
| defiant_loottable_links |       110209 |      176432 |   50503 | Crude Defiant Granite Pebble         |
| defiant_loottable_links |       110209 |      176432 |   50504 | Crude Defiant Stone Fragment         |
| defiant_loottable_links |       110209 |      176432 |   50505 | Crude Defiant Turquoise              |
| defiant_loottable_links |       110209 |      176432 |   50506 | Crude Defiant Mace                   |
| defiant_loottable_links |       110209 |      176432 |   50507 | Crude Defiant Club                   |
| defiant_loottable_links |       110209 |      176432 |   50508 | Crude Defiant Shortsword             |
| defiant_loottable_links |       110209 |      176432 |   50509 | Crude Defiant Axe                    |
| defiant_loottable_links |       110209 |      176432 |   50510 | Crude Defiant Dagger                 |
| defiant_loottable_links |       110209 |      176432 |   50511 | Crude Defiant Spear                  |
| defiant_loottable_links |       110209 |      176432 |   50512 | Crude Defiant Fists                  |
| defiant_loottable_links |       110209 |      176432 |   50513 | Crude Defiant Quarterstaff           |
| defiant_loottable_links |       110209 |      176432 |   50514 | Crude Defiant Greatspear             |
| defiant_loottable_links |       110209 |      176432 |   50515 | Crude Defiant Greatsword             |
| defiant_loottable_links |       110209 |      176432 |   50516 | Crude Defiant Bow                    |
| defiant_loottable_links |       110209 |      176432 |   50517 | Crude Defiant Spiked Shield          |
| defiant_loottable_links |       110209 |      176432 |   50518 | Crude Defiant Buckler                |
| defiant_loottable_links |       110210 |      176433 |   50033 | Simple Defiant Plate Bracer          |
| defiant_loottable_links |       110210 |      176433 |   50034 | Simple Defiant Plate Gauntlets       |
| defiant_loottable_links |       110210 |      176433 |   50035 | Simple Defiant Plate Boots           |
| defiant_loottable_links |       110210 |      176433 |   50036 | Simple Defiant Plate Helm            |
| defiant_loottable_links |       110210 |      176433 |   50037 | Simple Defiant Plate Vambraces       |
| defiant_loottable_links |       110210 |      176433 |   50038 | Simple Defiant Plate Greaves         |
| defiant_loottable_links |       110210 |      176433 |   50039 | Simple Defiant Breastplate           |
| defiant_loottable_links |       110210 |      176433 |   50040 | Simple Defiant Chain Bracer          |
| defiant_loottable_links |       110210 |      176433 |   50041 | Simple Defiant Chain Gauntlets       |
| defiant_loottable_links |       110210 |      176433 |   50042 | Simple Defiant Chain Boots           |
| defiant_loottable_links |       110210 |      176433 |   50043 | Simple Defiant Chain Coif            |
| defiant_loottable_links |       110210 |      176433 |   50044 | Simple Defiant Chain Sleeves         |
| defiant_loottable_links |       110210 |      176433 |   50045 | Simple Defiant Chain Leggings        |
| defiant_loottable_links |       110210 |      176433 |   50046 | Simple Defiant Chain Tunic           |
| defiant_loottable_links |       110210 |      176433 |   50047 | Simple Defiant Leather Bracer        |
| defiant_loottable_links |       110210 |      176433 |   50048 | Simple Defiant Leather Gloves        |
| defiant_loottable_links |       110210 |      176433 |   50049 | Simple Defiant Leather Boots         |
| defiant_loottable_links |       110210 |      176433 |   50050 | Simple Defiant Leather Cap           |
| defiant_loottable_links |       110210 |      176433 |   50051 | Simple Defiant Leather Sleeves       |
| defiant_loottable_links |       110210 |      176433 |   50052 | Simple Defiant Leather Trousers      |
| defiant_loottable_links |       110210 |      176433 |   50053 | Simple Defiant Leather Tunic         |
| defiant_loottable_links |       110210 |      176433 |   50054 | Simple Defiant Cloth Wristwrap       |
| defiant_loottable_links |       110210 |      176433 |   50055 | Simple Defiant Cloth Gloves          |
| defiant_loottable_links |       110210 |      176433 |   50056 | Simple Defiant Cloth Sandals         |
| defiant_loottable_links |       110210 |      176433 |   50057 | Simple Defiant Cloth Cap             |
| defiant_loottable_links |       110210 |      176433 |   50058 | Simple Defiant Cloth Sleeves         |
| defiant_loottable_links |       110210 |      176433 |   50059 | Simple Defiant Cloth Pantaloons      |
| defiant_loottable_links |       110210 |      176433 |   50060 | Simple Defiant Cloth Robe            |
| defiant_loottable_links |       110210 |      176433 |   50519 | Simple Defiant Alexandrite Shard     |
| defiant_loottable_links |       110210 |      176433 |   50520 | Simple Defiant Bluestone             |
| defiant_loottable_links |       110210 |      176433 |   50521 | Simple Defiant Jasper                |
| defiant_loottable_links |       110210 |      176433 |   50522 | Simple Defiant Garnet                |
| defiant_loottable_links |       110210 |      176433 |   50523 | Simple Defiant Hammer                |
| defiant_loottable_links |       110210 |      176433 |   50524 | Simple Defiant Wand                  |
| defiant_loottable_links |       110210 |      176433 |   50525 | Simple Defiant Shortsword            |
| defiant_loottable_links |       110210 |      176433 |   50526 | Simple Defiant Bastard Sword         |
| defiant_loottable_links |       110210 |      176433 |   50527 | Simple Defiant Claw-dagger           |
| defiant_loottable_links |       110210 |      176433 |   50528 | Simple Defiant Dagger                |
| defiant_loottable_links |       110210 |      176433 |   50529 | Simple Defiant Ulak                  |
| defiant_loottable_links |       110210 |      176433 |   50530 | Simple Defiant Twisted Staff         |
| defiant_loottable_links |       110210 |      176433 |   50531 | Simple Defiant Spear                 |
| defiant_loottable_links |       110210 |      176433 |   50532 | Simple Defiant Greataxe              |
| defiant_loottable_links |       110210 |      176433 |   50533 | Simple Defiant Bow                   |
| defiant_loottable_links |       110210 |      176433 |   50534 | Simple Defiant Kite Shield           |
| defiant_loottable_links |       110210 |      176433 |   50535 | Simple Defiant Wooden Shield         |
| defiant_loottable_links |       110211 |      176434 |   50061 | Rough Defiant Plate Bracer           |
| defiant_loottable_links |       110211 |      176434 |   50062 | Rough Defiant Plate Gauntlets        |
| defiant_loottable_links |       110211 |      176434 |   50063 | Rough Defiant Plate Boots            |
| defiant_loottable_links |       110211 |      176434 |   50064 | Rough Defiant Plate Helm             |
| defiant_loottable_links |       110211 |      176434 |   50065 | Rough Defiant Plate Vambraces        |
| defiant_loottable_links |       110211 |      176434 |   50066 | Rough Defiant Plate Greaves          |
| defiant_loottable_links |       110211 |      176434 |   50067 | Rough Defiant Breastplate            |
| defiant_loottable_links |       110211 |      176434 |   50068 | Rough Defiant Chain Bracer           |
| defiant_loottable_links |       110211 |      176434 |   50069 | Rough Defiant Chain Gauntlets        |
| defiant_loottable_links |       110211 |      176434 |   50070 | Rough Defiant Chain Boots            |
| defiant_loottable_links |       110211 |      176434 |   50071 | Rough Defiant Chain Coif             |
| defiant_loottable_links |       110211 |      176434 |   50072 | Rough Defiant Chain Sleeves          |
| defiant_loottable_links |       110211 |      176434 |   50073 | Rough Defiant Chain Leggings         |
| defiant_loottable_links |       110211 |      176434 |   50074 | Rough Defiant Chain Tunic            |
| defiant_loottable_links |       110211 |      176434 |   50075 | Rough Defiant Leather Bracer         |
| defiant_loottable_links |       110211 |      176434 |   50076 | Rough Defiant Leather Gloves         |
| defiant_loottable_links |       110211 |      176434 |   50077 | Rough Defiant Leather Boots          |
| defiant_loottable_links |       110211 |      176434 |   50078 | Rough Defiant Leather Cap            |
| defiant_loottable_links |       110211 |      176434 |   50079 | Rough Defiant Leather Sleeves        |
| defiant_loottable_links |       110211 |      176434 |   50080 | Rough Defiant Leather Trousers       |
| defiant_loottable_links |       110211 |      176434 |   50081 | Rough Defiant Leather Tunic          |
| defiant_loottable_links |       110211 |      176434 |   50082 | Rough Defiant Cloth Wristwrap        |
| defiant_loottable_links |       110211 |      176434 |   50083 | Rough Defiant Cloth Gloves           |
| defiant_loottable_links |       110211 |      176434 |   50084 | Rough Defiant Cloth Sandals          |
| defiant_loottable_links |       110211 |      176434 |   50085 | Rough Defiant Cloth Cap              |
| defiant_loottable_links |       110211 |      176434 |   50086 | Rough Defiant Cloth Sleeves          |
| defiant_loottable_links |       110211 |      176434 |   50087 | Rough Defiant Cloth Pantaloons       |
| defiant_loottable_links |       110211 |      176434 |   50088 | Rough Defiant Cloth Robe             |
| defiant_loottable_links |       110211 |      176434 |   50536 | Rough Defiant Nihilite Shard         |
| defiant_loottable_links |       110211 |      176434 |   50537 | Rough Defiant Trillion Amethyst      |
| defiant_loottable_links |       110211 |      176434 |   50540 | Rough Defiant Hammer                 |
| defiant_loottable_links |       110211 |      176434 |   50541 | Rough Defiant Scepter                |
| defiant_loottable_links |       110211 |      176434 |   50542 | Rough Defiant Shortsword             |
| defiant_loottable_links |       110211 |      176434 |   50543 | Rough Defiant Longsword              |
| defiant_loottable_links |       110211 |      176434 |   50544 | Rough Defiant Stone Dagger           |
| defiant_loottable_links |       110211 |      176434 |   50545 | Rough Defiant Serrated Dagger        |
| defiant_loottable_links |       110211 |      176434 |   50546 | Rough Defiant Knuckle Dusters        |
| defiant_loottable_links |       110211 |      176434 |   50547 | Rough Defiant Spiked Staff           |
| defiant_loottable_links |       110211 |      176434 |   50548 | Rough Defiant Trident                |
| defiant_loottable_links |       110211 |      176434 |   50549 | Rough Defiant Halberd                |
| defiant_loottable_links |       110211 |      176434 |   50550 | Rough Defiant Bow                    |
| defiant_loottable_links |       110211 |      176434 |   50551 | Rough Defiant Chitin Shield          |
| defiant_loottable_links |       110211 |      176434 |   50552 | Rough Defiant Round Shield           |
| defiant_loottable_links |       110211 |      176434 |   50553 | Rough Defiant Charm                  |
| defiant_loottable_links |       110212 |      176435 |   50089 | Ornate Defiant Plate Bracer          |
| defiant_loottable_links |       110212 |      176435 |   50090 | Ornate Defiant Plate Gauntlets       |
| defiant_loottable_links |       110212 |      176435 |   50091 | Ornate Defiant Plate Boots           |
| defiant_loottable_links |       110212 |      176435 |   50092 | Ornate Defiant Plate Helm            |
| defiant_loottable_links |       110212 |      176435 |   50093 | Ornate Defiant Plate Vambraces       |
| defiant_loottable_links |       110212 |      176435 |   50094 | Ornate Defiant Plate Greaves         |
| defiant_loottable_links |       110212 |      176435 |   50095 | Ornate Defiant Breastplate           |
| defiant_loottable_links |       110212 |      176435 |   50096 | Ornate Defiant Chain Bracer          |
| defiant_loottable_links |       110212 |      176435 |   50097 | Ornate Defiant Chain Gauntlets       |
| defiant_loottable_links |       110212 |      176435 |   50098 | Ornate Defiant Chain Boots           |
| defiant_loottable_links |       110212 |      176435 |   50099 | Ornate Defiant Chain Coif            |
| defiant_loottable_links |       110212 |      176435 |   50100 | Ornate Defiant Chain Sleeves         |
| defiant_loottable_links |       110212 |      176435 |   50101 | Ornate Defiant Chain Leggings        |
| defiant_loottable_links |       110212 |      176435 |   50102 | Ornate Defiant Chain Tunic           |
| defiant_loottable_links |       110212 |      176435 |   50103 | Ornate Defiant Leather Bracer        |
| defiant_loottable_links |       110212 |      176435 |   50104 | Ornate Defiant Leather Gloves        |
| defiant_loottable_links |       110212 |      176435 |   50105 | Ornate Defiant Leather Boots         |
| defiant_loottable_links |       110212 |      176435 |   50106 | Ornate Defiant Leather Cap           |
| defiant_loottable_links |       110212 |      176435 |   50107 | Ornate Defiant Leather Sleeves       |
| defiant_loottable_links |       110212 |      176435 |   50108 | Ornate Defiant Leather Trousers      |
| defiant_loottable_links |       110212 |      176435 |   50109 | Ornate Defiant Leather Tunic         |
| defiant_loottable_links |       110212 |      176435 |   50110 | Ornate Defiant Cloth Wristwrap       |
| defiant_loottable_links |       110212 |      176435 |   50111 | Ornate Defiant Cloth Gloves          |
| defiant_loottable_links |       110212 |      176435 |   50112 | Ornate Defiant Cloth Sandals         |
| defiant_loottable_links |       110212 |      176435 |   50113 | Ornate Defiant Cloth Cap             |
| defiant_loottable_links |       110212 |      176435 |   50114 | Ornate Defiant Cloth Sleeves         |
| defiant_loottable_links |       110212 |      176435 |   50115 | Ornate Defiant Cloth Pantaloons      |
| defiant_loottable_links |       110212 |      176435 |   50116 | Ornate Defiant Cloth Robe            |
| defiant_loottable_links |       110212 |      176435 |   50554 | Ornate Defiant Harmonagate           |
| defiant_loottable_links |       110212 |      176435 |   50555 | Ornate Defiant Geode                 |
| defiant_loottable_links |       110212 |      176435 |   50556 | Ornate Defiant Bone Sledgehammer     |
| defiant_loottable_links |       110212 |      176435 |   50557 | Ornate Defiant Scepter               |
| defiant_loottable_links |       110212 |      176435 |   50558 | Ornate Defiant Longsword             |
| defiant_loottable_links |       110212 |      176435 |   50559 | Ornate Defiant Gladius               |
| defiant_loottable_links |       110212 |      176435 |   50560 | Ornate Defiant Rapier                |
| defiant_loottable_links |       110212 |      176435 |   50561 | Ornate Defiant Dagger                |
| defiant_loottable_links |       110212 |      176435 |   50562 | Ornate Defiant Orb                   |
| defiant_loottable_links |       110212 |      176435 |   50563 | Ornate Defiant Skullstaff            |
| defiant_loottable_links |       110212 |      176435 |   50564 | Ornate Defiant Harpoon               |
| defiant_loottable_links |       110212 |      176435 |   50565 | Ornate Defiant Scythe                |
| defiant_loottable_links |       110212 |      176435 |   50566 | Ornate Defiant Bow                   |
| defiant_loottable_links |       110212 |      176435 |   50567 | Ornate Defiant Skullshield           |
| defiant_loottable_links |       110212 |      176435 |   50568 | Ornate Defiant Glowing Shield        |
| defiant_loottable_links |       110212 |      176435 |   50569 | Ornate Defiant Charm                 |
| defiant_loottable_links |       110213 |      176436 |   50117 | Flawed Defiant Plate Bracer          |
| defiant_loottable_links |       110213 |      176436 |   50118 | Flawed Defiant Plate Gauntlets       |
| defiant_loottable_links |       110213 |      176436 |   50119 | Flawed Defiant Plate Boots           |
| defiant_loottable_links |       110213 |      176436 |   50120 | Flawed Defiant Plate Helm            |
| defiant_loottable_links |       110213 |      176436 |   50121 | Flawed Defiant Plate Vambraces       |
| defiant_loottable_links |       110213 |      176436 |   50122 | Flawed Defiant Plate Greaves         |
| defiant_loottable_links |       110213 |      176436 |   50123 | Flawed Defiant Breastplate           |
| defiant_loottable_links |       110213 |      176436 |   50124 | Flawed Defiant Chain Bracer          |
| defiant_loottable_links |       110213 |      176436 |   50125 | Flawed Defiant Chain Gauntlets       |
| defiant_loottable_links |       110213 |      176436 |   50126 | Flawed Defiant Chain Boots           |
| defiant_loottable_links |       110213 |      176436 |   50127 | Flawed Defiant Chain Coif            |
| defiant_loottable_links |       110213 |      176436 |   50128 | Flawed Defiant Chain Sleeves         |
| defiant_loottable_links |       110213 |      176436 |   50129 | Flawed Defiant Chain Leggings        |
| defiant_loottable_links |       110213 |      176436 |   50130 | Flawed Defiant Chain Tunic           |
| defiant_loottable_links |       110213 |      176436 |   50131 | Flawed Defiant Leather Bracer        |
| defiant_loottable_links |       110213 |      176436 |   50132 | Flawed Defiant Leather Gloves        |
| defiant_loottable_links |       110213 |      176436 |   50133 | Flawed Defiant Leather Boots         |
| defiant_loottable_links |       110213 |      176436 |   50134 | Flawed Defiant Leather Cap           |
| defiant_loottable_links |       110213 |      176436 |   50135 | Flawed Defiant Leather Sleeves       |
| defiant_loottable_links |       110213 |      176436 |   50136 | Flawed Defiant Leather Trousers      |
| defiant_loottable_links |       110213 |      176436 |   50137 | Flawed Defiant Leather Tunic         |
| defiant_loottable_links |       110213 |      176436 |   50138 | Flawed Defiant Silk Wristwrap        |
